timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548170945717,258,HTTP Request Pagina Piccola,200,OK,Thread Group 1-4,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,132,0,57
1548170945738,292,HTTP Request Pagina Piccola,200,OK,Thread Group 1-5,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,156,0,52
1548170945784,1248,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-11,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,191,0,77
1548170945841,1718,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-16,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,400,0,92
1548170945897,1813,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-21,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,376,0,109
1548170945968,2216,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-30,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,643,0,273
1548170945687,2983,HTTP Request Pagina Media,200,OK,Thread Group 1-2,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,39,0,16
1548170946242,2448,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-5,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,866,0,351
1548170945709,3496,HTTP Request Pagina Media,200,OK,Thread Group 1-3,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,53,0,20
1548170945763,4676,HTTP Request Pagina Media,200,OK,Thread Group 1-9,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,121,0,36
1548170947562,2880,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-16,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,1003,0,528
1548170945769,4966,HTTP Request Pagina Media,200,OK,Thread Group 1-10,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,143,0,46
1548170945804,5081,HTTP Request Pagina Media,200,OK,Thread Group 1-12,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,159,0,66
1548170945874,5073,HTTP Request Pagina Media,200,OK,Thread Group 1-20,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,245,0,70
1548170945864,5099,HTTP Request Pagina Media,200,OK,Thread Group 1-19,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,253,0,80
1548170945816,5175,HTTP Request Pagina Media,200,OK,Thread Group 1-13,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,304,0,117
1548170945904,5476,HTTP Request Pagina Media,200,OK,Thread Group 1-24,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,431,0,148
1548170945679,6789,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-1,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,24,0,10
1548170946238,6373,HTTP Request Pagina Media,200,OK,Thread Group 1-4,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,856,0,344
1548170950994,2405,HTTP Request Pagina Piccola,200,OK,Thread Group 1-13,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,1453,0,635
1548170945736,8609,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-6,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,123,0,41
1548170950443,4194,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-16,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,1188,0,530
1548170945741,8918,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-7,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,132,0,56
1548170945752,8916,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-8,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,142,0,46
1548170950890,4856,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-12,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,1384,0,629
