 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 0  0  62696 172596  96884 166200    3   13    45    33  187  458  8  4 88  1  0
 1  0  62696 172360  96884 166276    0    0     0     0   47  110  2  1 97  0  0
 0  0  62696 172360  96884 166276    0    0     0     0   35   84  0  0 100  0  0
 0  0  62696 171048  96884 166276    0    0     0     0  306  240  1 11 88  0  0
 0  0  62696 168508  96884 166284    0    0     0     0  447  356  0 18 82  0  0
 3  0  62696 168172  96884 166284    0    0     0     0  420  308  0 19 81  0  0
 0  0  62696 167964  96884 166284    0    0     0     0  505  307  0 23 77  0  0
 2  0  62696 167612  96884 166288    0    0     0     0  473  308  0 20 80  0  0
 2  0  62696 167292  96888 166288    0    0     0     0  475  307  0 22 78  0  0
 0  0  62696 165976  96884 166300    0    0     0    12  509  299  0 18 82  0  0
 0  0  62696 164376  96884 166300    0    0     0     0  482  283  0 19 81  0  0
 0  0  62696 163160  96884 166300    0    0     0     0  460  250  0 16 84  0  0
 1  0  62696 161704  96884 166300    0    0     0     0  572  270  0 20 80  0  0
 0  0  62696 161144  96884 166300    0    0     0     0  358  196  0 10 90  0  0
 0  0  62696 161416  96884 166308    0    0     0    48  579  238  0 14 86  0  0
 0  0  62696 161672  96884 166308    0    0     0     0  580  185  0 18 82  0  0
 0  0  62696 160872  96884 166308    0    0     0     0  660  245  0 16 84  0  0
 0  0  62696 159944  96884 166308    0    0     0     0  290  157  0  2 98  0  0
 0  0  62696 158264  96884 166308    0    0     0     0  402  213  0 14 86  0  0
 0  0  62696 156480  96884 166308    0    0     0    12  948  194  0 16 83  1  0
 0  0  62696 154976  96884 166316    0    0     0    34  941  250  0 18 82  0  0
 0  0  62696 153760  96884 166316    0    0     0     0  830  188  0 11 89  0  0
 0  0  62696 154304  96884 166316    0    0     0     0  402  169  1  5 94  0  0
 2  0  62696 154944  96884 166316    0    0     0     0  644  186  0 17 83  0  0
 0  0  62696 156240  96884 166320    0    0     0     0  279  161  0  5 95  0  0
 0  0  62696 159200  96884 166320    0    0     0    12  420  186  0 11 89  0  0
 0  0  62696 162592  96884 166328    0    0     0     0  524  194  0 10 90  0  0
 0  0  62696 165256  96884 166328    0    0     0     0  926  297  0 20 80  0  0
 2  0  62696 164104  96884 166328    0    0     0     0  883  262  0 16 84  0  0
 0  0  62696 162344  96884 166332    0    0     0     0  683  229  0 16 84  0  0
 1  0  62696 162924  96884 166332    0    0     0     0  739  235  0 13 87  0  0
 1  0  62696 164364  96884 166332    0    0     0    12  469  219  0 11 89  0  0
 2  0  62696 167276  96884 166340    0    0     0     0  560  283  0 17 83  0  0
 2  0  62696 168044  96884 166340    0    0     0    12  743  339  0 22 78  0  0
 1  0  62696 166152  96884 166340    0    0     0     4  651  304  0 19 81  0  0
 2  0  62696 164488  96884 166340    0    0     0     0  662  304  0 19 81  0  0
 0  0  62696 163080  96884 166352    0    0     0    28  630  292  0 17 83  0  0
 1  0  62696 162104  96884 166352    0    0     0     0  698  232  0 13 87  0  0
 1  0  62696 159608  96884 166352    0    0     0     0  705  264  0 18 82  0  0
 6  0  62696 159736  96884 166352    0    0     0     0  741  228  0 17 83  0  0
 2  0  62696 157352  96884 166352    0    0     0     0  803  199  0 17 83  0  0
 0  0  62696 156980  96884 166352    0    0     0    12  663  250  0 17 83  0  0
 2  0  62696 153620  96884 166360    0    0     0     0  833  208  0 14 86  0  0
 1  0  62696 151476  96884 166360    0    0     0     0  620  212  0 15 85  0  0
 2  0  62696 151388  96884 166360    0    0     0     0  593  165  0  9 91  0  0
 0  0  62696 153144  96884 166360    0    0     0     0  736  221  0 14 86  0  0
 0  0  62696 151904  96884 166360    0    0     0     0  718  193  0  8 92  0  0
 1  0  62696 153552  96884 166360    0    0     0    12  812  179  0 12 88  0  0
 1  0  62696 154388  96884 166368    0    0     0     0  718  241  0 16 84  0  0
 0  0  62696 154324  96884 166368    0    0     0     0  316  155  0  6 94  0  0
 0  0  62696 154676  96884 166368    0    0     0    42  420  141  0 12 88  0  0
 1  0  62696 157444  96884 166368    0    0     0     0  396  153  0  7 93  0  0
 0  0  62696 157600  96884 166372    0    0     0     0  787  239  0 19 81  0  0
 1  0  62696 156720  96884 166372    0    0     0    28  967  234  0 16 83  1  0
 0  0  62696 156336  96884 166380    0    0     0     0  439  151  0 10 90  0  0
 2  0  62696 155032  96884 166380    0    0     0     0  512  175  1 10 89  0  0
 0  0  62696 153740  96884 166380    0    0     0     0 1075  205  0 16 84  0  0
 0  0  62696 151964  96884 166380    0    0     0     0 1046  213  0 12 88  0  0
 1  0  62696 153052  96884 166380    0    0     0     0  476  196  0  6 94  0  0
 1  0  62696 154556  96884 166380    0    0     0     0  678  198  0 10 90  0  0
 0  0  62696 155916  96884 166380    0    0     0     0  753  188  0 11 89  0  0
 1  0  62696 157516  96884 166380    0    0     0     0  500  210  0 11 89  0  0
 1  0  62696 157852  96884 166384    0    0     0     0  946  162  0 19 81  0  0
 0  0  62696 157772  96884 166384    0    0     0    12  897  196  0 10 90  0  0
 0  0  62696 158240  96884 166392    0    0     0     8  968  208  0 13 87  0  0
 0  0  62696 159392  96884 166392    0    0     0     0  513  184  0  9 91  0  0
 1  0  62696 161936  96884 166392    0    0     0     0  596  191  0 13 87  0  0
 0  0  62696 163200  96884 166392    0    0     0     0  825  265  0 14 86  0  0
 1  0  62696 161088  96884 166392    0    0     0    20 1072  225  0 19 81  0  0
 1  0  62696 158276  96884 166400    0    0     0     0 1017  241  0 11 89  0  0
 0  0  62696 158372  96884 166400    0    0     0     0 1047  226  0 23 77  0  0
 1  0  62696 159188  96884 166400    0    0     0     0  534  188  0 13 88  0  0
 0  0  62696 159764  96884 166400    0    0     0     0  327  150  0  9 91  0  0
 2  0  62696 161544  96884 166400    0    0     0     0  401  223  0 12 88  0  0
 5  0  62696 164392  96884 166400    0    0     0    28  863  271  0 22 78  0  0
 1  0  62696 164040  96884 166408    0    0     0     0  719  205  0 17 83  0  0
 2  0  62696 163016  96884 166408    0    0     0     0  713  245  0 14 86  0  0
